editor,platform,project,relative_file,language,event_time
VSCode,macOS Sonoma,newClassChecker,src/App.tsx,typescriptreact,1706152560000
VSCode,macOS Sonoma,newClassChecker,src/App.tsx,typescriptreact,1706152620000
VSCode,macOS Sonoma,newClassChecker,[other workspace],dockerfile,1706152680000
VSCode,macOS Sonoma,newClassChecker,[other workspace],dockerfile,1706152740000
VSCode,macOS Sonoma,newClassChecker,[other workspace],ini,1706152800000
VSCode,macOS Sonoma,newClassChecker,src/App.tsx,typescriptreact,1706269380000
VSCode,macOS Sonoma,personalManagementSystem,src/Router.tsx,typescriptreact,1706270040000
VSCode,macOS Sonoma,personalManagementSystem,src/modules/Notes/index.tsx,typescriptreact,1706270100000
VSCode,macOS Sonoma,personalManagementSystem,src/modules/Notes/index.tsx,typescriptreact,1706270160000
VSCode,macOS Sonoma,personalManagementSystem,src/modules/Notes/index.tsx,typescriptreact,1706270340000
VSCode,macOS Sonoma,personalManagementSystem,src/modules/Notes/index.tsx,typescriptreact,1706270400000
VSCode,macOS Sonoma,personalManagementSystem,src/modules/Notes/index.tsx,typescriptreact,1706270460000
VSCode,macOS Sonoma,personalManagementSystem,src/modules/Notes/index.tsx,typescriptreact,1706270520000
VSCode,macOS Sonoma,personalManagementSystem,src/modules/Notes/index.tsx,typescriptreact,1706270580000
VSCode,macOS Sonoma,personalManagementSystem,src/modules/Notes/index.tsx,typescriptreact,1706270640000
VSCode,macOS Sonoma,personalManagementSystem,src/modules/Notes/index.tsx,typescriptreact,1706270700000
VSCode,macOS Sonoma,personalManagementSystem,src/modules/Notes/index.tsx,typescriptreact,1706270760000
VSCode,macOS Sonoma,personalManagementSystem,src/modules/Notes/index.tsx,typescriptreact,1706270820000
VSCode,macOS Sonoma,personalManagementSystem,src/modules/Notes/index.tsx,typescriptreact,1706270880000
VSCode,macOS Sonoma,personalManagementSystem,src/modules/Notes/index.tsx,typescriptreact,1706270940000
VSCode,macOS Sonoma,personalManagementSystem,src/modules/Notes/index.tsx,typescriptreact,1706271000000
VSCode,macOS Sonoma,personalManagementSystem,src/modules/Notes/index.tsx,typescriptreact,1706271060000
VSCode,macOS Sonoma,personalManagementSystem,src/modules/Notes/index.tsx,typescriptreact,1706271120000
VSCode,macOS Sonoma,personalManagementSystem,src/modules/Notes/index.tsx,typescriptreact,1706271180000
VSCode,macOS Sonoma,personalManagementSystem,src/modules/Notes/index.tsx,typescriptreact,1706271240000
VSCode,macOS Sonoma,personalManagementSystem,src/modules/Notes/index.tsx,typescriptreact,1706271300000
VSCode,macOS Sonoma,personalManagementSystem,src/modules/Notes/index.tsx,typescriptreact,1706271360000
VSCode,macOS Sonoma,personalManagementSystem,src/modules/Notes/index.tsx,typescriptreact,1706271420000
VSCode,macOS Sonoma,personalManagementSystem,src/modules/Notes/index.tsx,typescriptreact,1706271660000
VSCode,macOS Sonoma,personalManagementSystem,src/modules/Notes/index.tsx,typescriptreact,1706271720000
VSCode,macOS Sonoma,personalManagementSystem,src/modules/Notes/index.tsx,typescriptreact,1706271780000
VSCode,macOS Sonoma,personalManagementSystem,src/modules/Notes/index.tsx,typescriptreact,1706271840000
VSCode,macOS Sonoma,personalManagementSystem,src/modules/Notes/index.tsx,typescriptreact,1706271900000
VSCode,macOS Sonoma,personalManagementSystem,src/modules/Notes/index.tsx,typescriptreact,1706271960000
VSCode,macOS Sonoma,personalManagementSystem,src/modules/Notes/index.tsx,typescriptreact,1706272020000
VSCode,macOS Sonoma,personalManagementSystem,src/modules/Notes/index.tsx,typescriptreact,1706272080000
VSCode,macOS Sonoma,personalManagementSystem,src/modules/Notes/index.tsx,typescriptreact,1706272140000
VSCode,macOS Sonoma,personalManagementSystem,src/modules/Notes/index.tsx,typescriptreact,1706272680000
VSCode,macOS Sonoma,personalManagementSystem,src/modules/Notes/index.tsx,typescriptreact,1706272740000
VSCode,macOS Sonoma,personalManagementSystem,src/modules/Notes/index.tsx,typescriptreact,1706273580000
VSCode,macOS Sonoma,personalManagementSystem,src/modules/Notes/index.tsx,typescriptreact,1706277420000
VSCode,macOS Sonoma,personalManagementSystem,src/modules/Notes/index.tsx,typescriptreact,1706277480000
VSCode,macOS Sonoma,personalManagementSystem,src/modules/Notes/index.tsx,typescriptreact,1706316780000
VSCode,macOS Sonoma,personalManagementSystem,src/modules/Notes/index.tsx,typescriptreact,1706316840000
VSCode,macOS Sonoma,personalManagementSystem,src/modules/Notes/index.tsx,typescriptreact,1706316960000
VSCode,macOS Sonoma,personalManagementSystem,src/modules/Notes/index.tsx,typescriptreact,1706317020000
VSCode,macOS Sonoma,personalManagementSystem,src/modules/Notes/index.tsx,typescriptreact,1706317140000
VSCode,macOS Sonoma,personalManagementSystem,src/components/Sidebar/components/SidebarItems.tsx,typescriptreact,1706317200000
VSCode,macOS Sonoma,personalManagementSystem,src/components/Sidebar/components/SidebarItems.tsx,typescriptreact,1706317260000
VSCode,macOS Sonoma,personalManagementSystem,src/components/Sidebar/components/SidebarItems.tsx,typescriptreact,1706317320000
VSCode,macOS Sonoma,pms-api,routes/notes/index.js,javascript,1706317380000
VSCode,macOS Sonoma,pms-api,routes/notes/index.js,javascript,1706317440000
VSCode,macOS Sonoma,pms-api,routes/notes/index.js,javascript,1706317500000
VSCode,macOS Sonoma,personalManagementSystem,src/constants/sidebar.ts,typescript,1706317560000
VSCode,macOS Sonoma,pms-api,index.js,javascript,1706317620000
VSCode,macOS Sonoma,personalManagementSystem,src/components/Sidebar/components/SidebarItems.tsx,typescriptreact,1706317680000
VSCode,macOS Sonoma,personalManagementSystem,src/components/Sidebar/components/SidebarItems.tsx,typescriptreact,1706317740000
VSCode,macOS Sonoma,personalManagementSystem,src/components/Sidebar/components/SidebarItems.tsx,typescriptreact,1706317800000
VSCode,macOS Sonoma,personalManagementSystem,src/components/Sidebar/components/SidebarItems.tsx,typescriptreact,1706317860000
VSCode,macOS Sonoma,personalManagementSystem,src/components/Sidebar/components/SidebarItems.tsx,typescriptreact,1706317920000
VSCode,macOS Sonoma,personalManagementSystem,src/components/Sidebar/components/SidebarItems.tsx,typescriptreact,1706317980000
VSCode,macOS Sonoma,personalManagementSystem,src/components/Sidebar/components/SidebarItems.tsx,typescriptreact,1706318040000
VSCode,macOS Sonoma,pms-api,index.js,javascript,1706318100000
VSCode,macOS Sonoma,personalManagementSystem,src/components/Sidebar/components/SidebarItems.tsx,typescriptreact,1706318160000
VSCode,macOS Sonoma,personalManagementSystem,src/components/Sidebar/components/SidebarItems.tsx,typescriptreact,1706318820000
VSCode,macOS Sonoma,personalManagementSystem,src/components/Sidebar/components/SidebarItems.tsx,typescriptreact,1706318880000
VSCode,macOS Sonoma,personalManagementSystem,src/components/Sidebar/components/SidebarItems.tsx,typescriptreact,1706318940000
VSCode,macOS Sonoma,personalManagementSystem,src/modules/Notes/index.tsx,typescriptreact,1706319000000
VSCode,macOS Sonoma,personalManagementSystem,src/components/Sidebar/components/SidebarItems.tsx,typescriptreact,1706319060000
VSCode,macOS Sonoma,personalManagementSystem,src/components/Sidebar/components/SidebarItems.tsx,typescriptreact,1706319120000
VSCode,macOS Sonoma,personalManagementSystem,src/modules/Notes/index.tsx,typescriptreact,1706319180000
VSCode,macOS Sonoma,personalManagementSystem,src/modules/Notes/index.tsx,typescriptreact,1706319240000
VSCode,macOS Sonoma,personalManagementSystem,src/modules/Notes/index.tsx,typescriptreact,1706319300000
VSCode,macOS Sonoma,personalManagementSystem,src/modules/Notes/index.tsx,typescriptreact,1706319360000
VSCode,macOS Sonoma,personalManagementSystem,src/modules/Notes/index.tsx,typescriptreact,1706319480000
VSCode,macOS Sonoma,personalManagementSystem,src/modules/Notes/index.tsx,typescriptreact,1706319540000
VSCode,macOS Sonoma,personalManagementSystem,src/modules/Notes/index.tsx,typescriptreact,1706319600000
VSCode,macOS Sonoma,personalManagementSystem,src/modules/Notes/index.tsx,typescriptreact,1706319720000
VSCode,macOS Sonoma,personalManagementSystem,src/modules/Notes/index.tsx,typescriptreact,1706323080000
VSCode,macOS Sonoma,personalManagementSystem,src/modules/Notes/index.tsx,typescriptreact,1706323140000
